<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20220531,035000,33166.39,33186.64,33152.64,33181.97,524
20220531,035500,33181.90,33189.90,33166.89,33184.14,337
20220531,040000,33184.39,33187.14,33167.64,33173.04,249
20220531,040500,33172.64,33172.89,33115.39,33130.04,416
20220531,041000,33128.64,33150.64,33127.24,33149.97,311
20220531,041500,33150.90,33167.90,33142.24,33165.64,389
20220531,042000,33165.90,33176.14,33163.26,33167.64,289
20220531,042500,33167.89,33174.14,33158.24,33160.04,252
20220531,043000,33161.30,33167.90,33141.64,33154.89,524
20220531,043500,33154.90,33155.64,33117.39,33137.64,433
20220531,044000,33137.89,33185.64,33136.64,33185.14,534
20220531,044500,33185.64,33195.14,33174.30,33178.84,418
20220531,045000,33179.90,33184.14,33169.39,33177.90,375
20220531,045500,33177.64,33178.30,33158.64,33169.24,337
20220531,050000,33170.64,33188.92,33158.24,33177.90,382
20220531,050500,33178.14,33187.90,33173.39,33183.90,287
20220531,051000,33183.24,33215.24,33183.24,33213.14,256
20220531,051500,33213.04,33213.24,33192.14,33197.90,321
20220531,052000,33199.90,33210.64,33193.24,33197.90,288
20220531,052500,33197.64,33223.64,33191.64,33222.64,315
20220531,053000,33222.89,33224.90,33210.64,33217.89,272
20220531,053500,33217.35,33219.30,33209.64,33218.14,265
20220531,054000,33218.89,33222.04,33202.14,33207.24,214
20220531,054500,33208.04,33218.52,33192.92,33194.92,239
20220531,055000,33195.00,33205.04,33190.64,33201.90,280
20220531,055500,33201.64,33232.92,33200.90,33232.92,272
20220531,060000,33233.78,33238.44,33227.97,33237.64,305
20220531,060500,33237.89,33238.90,33224.64,33233.89,236
20220531,061000,33233.90,33237.14,33214.64,33223.14,282
20220531,061500,33223.90,33229.89,33218.14,33218.14,254
20220531,062000,33217.04,33218.64,33204.90,33206.64,262
20220531,062500,33206.24,33207.14,33185.90,33199.14,309
20220531,063000,33199.64,33204.14,33190.14,33193.14,252
20220531,063500,33193.24,33204.14,33190.64,33200.44,241
