<Ticker>,<Per>,<DTYYYYMMDD>,<TIME>,<Open>,<High>,<Low>,<Close>,<Vol>,<Openint>
Bimeh,d,20210615,000000,52058.6100,52061.4200,51823.9500,51828.7100,39538423,51828.7100,5718
Bimeh,d,20210616,000000,51780.4800,51780.4800,51416.1400,51417.8700,36280535,51417.8700,5718
Bimeh,d,20210619,000000,51460.1100,51891.7600,51460.1100,51882.2500,35203161,51882.2500,5718
Bimeh,d,20210620,000000,51876.1900,52038.8700,51876.1900,51892.1500,45512817,51892.1500,5718
Bimeh,d,20210621,000000,52028.4800,52265.4800,52028.4800,52262.8300,44199398,52262.8300,5718
Bimeh,d,20210622,000000,52296.3800,52943.3500,52296.3800,52925.9600,54541449,52925.9600,5718
Bimeh,d,20210623,000000,52913.2900,53311.6700,52878.2700,53308.4900,60655648,53308.4900,5718
Bimeh,d,20210626,000000,53584.8100,54498.5900,53584.8100,54500.0100,86354438,54500.0100,5718
Bimeh,d,20210627,000000,54439.3700,55002.2100,54400.8900,54879.2900,70976351,54879.2900,5718
Bimeh,d,20210628,000000,54902.6200,55032.9900,54873.5500,55001.6700,136413499,55001.6700,5718
Bimeh,d,20210629,000000,55208.3300,55208.3300,54815.2200,54888.0600,110871315,54888.0600,5718
Bimeh,d,20210630,000000,54942.1100,55207.9800,54942.1100,55144.2600,76918627,55144.2600,5718
Bimeh,d,20210703,000000,55189.4400,55212.4800,54645.3400,54641.2100,85152326,54641.2100,5718
Bimeh,d,20210704,000000,54370.3500,54448.9000,54264.0800,54311.5200,32329984,54311.5200,5718
Bimeh,d,20210705,000000,54320.0300,54560.5400,54320.0300,54547.7900,26742275,54547.7900,5718
Bimeh,d,20210706,000000,54590.9900,55552.9900,54590.9900,55541.3800,45259371,55541.380,5718
Bimeh,d,20210707,000000,55537.1800,56537.3300,55534.4200,56532.5500,233188704,56532.5500,5718
Bimeh,d,20210710,000000,56828.5700,56973.6800,56729.2700,56966.5200,66669015,56966.520,5718
Bimeh,d,20210711,000000,57082.3800,57892.9900,57082.3800,57888.1400,111579544,57888.140,5718
Bimeh,d,20210712,000000,58268.5400,58701.2200,58268.5400,58696.5100,78540695,58696.5100,5718
Bimeh,d,20210713,000000,58739.0700,58757.5700,58048.6600,58053.2700,83087896,58053.2700,5718
Bimeh,d,20210714,000000,57888.5800,58123.9600,57527.8400,58126.0300,72526909,58126.030,5718
Bimeh,d,20210717,000000,58332.5500,58481.5600,58193.4000,58192.2800,88212504,58192.2800,5718
Bimeh,d,20210718,000000,58502.1600,58502.1600,58129.8400,58144.8600,91052797,58144.860,5718
Bimeh,d,20210719,000000,58252.6700,58505.5000,58252.6700,58412.7800,99119532,58412.7800,5718
Bimeh,d,20210726,000000,58466.8000,58573.6200,58436.1100,58565.4700,54095816,58565.470,5718
Bimeh,d,20210727,000000,58581.9400,58751.2300,58295.5600,58300.8900,55258736,58300.890,5718
Bimeh,d,20210728,000000,58098.2000,58747.5500,57865.5600,58743.9000,106133574,58743.9000,5718
Bimeh,d,20210731,000000,60212.6500,60338.5800,60212.6500,60335.3000,137311655,60335.3000,5718
Bimeh,d,20210801,000000,61188.6200,61920.1000,61188.6200,61920.3600,388974655,61920.3600,5718
Bimeh,d,20210802,000000,62027.1300,62027.1300,61690.9300,61936.7000,153623090,61936.7000,5718
Bimeh,d,20210803,000000,61799.6400,61800.4400,61302.6300,61798.3300,131100454,61798.3300,5718
Bimeh,d,20210804,000000,61888.3400,62812.5400,61888.3400,62554.6300,150605427,62554.6300,5718
Bimeh,d,20210807,000000,62750.6700,62750.6700,62105.5100,62098.1000,95941242,62098.1000,5718
Bimeh,d,20210808,000000,62091.1200,62301.6700,62073.4700,62066.6100,62077516,62066.6100,5718
Bimeh,d,20210809,000000,61983.0300,62386.9400,61104.5300,62381.0800,241541020,62381.0800,5718
Bimeh,d,20210810,000000,62949.7600,63368.6400,62949.7600,63371.4600,661973115,63371.4600,5718
Bimeh,d,20210811,000000,63622.5200,63825.1100,63473.6300,63485.1800,503119888,63485.1800,5718
Bimeh,d,20210814,000000,63072.2300,63072.2300,62682.8500,63038.1200,329373811,63038.1200,5718
Bimeh,d,20210815,000000,62852.5600,63769.1200,62852.5600,63757.6900,307500899,63757.6900,5718
Bimeh,d,20210822,000000,64272.5900,65257.0500,64272.5900,65174.8400,301202759,65174.8400,5718
Bimeh,d,20210823,000000,65080.7800,65557.3500,64941.2800,65563.5200,296777406,65563.5200,5718
Bimeh,d,20210824,000000,66327.7300,67868.0900,66327.7300,67866.2500,337589031,67866.2500,5718
Bimeh,d,20210825,000000,68508.9400,69123.8200,68436.6900,69122.1600,273306423,69122.1600,5718
Bimeh,d,20210828,000000,69355.6000,71523.1700,69355.6000,71522.9100,484665557,71522.9100,5718
Bimeh,d,20210829,000000,72259.7600,72904.2000,72018.0700,72228.7400,777729706,72228.7400,5718
Bimeh,d,20210830,000000,71727.6600,71727.6600,70160.2600,70156.2300,679496813,70156.2300,5718
Bimeh,d,20210831,000000,68990.6700,68990.6700,67487.8400,68048.8400,411367598,68048.840,5718
Bimeh,d,20210901,000000,68124.6500,68616.0400,67668.3300,68622.4500,261212854,68622.4500,5718
Bimeh,d,20210904,000000,69398.2500,69729.7400,69339.1400,69720.8000,394916242,69720.800,5718
Bimeh,d,20210905,000000,70196.4100,71452.7600,70196.4100,71451.0200,291277229,71451.020,5718
Bimeh,d,20210906,000000,72884.0500,73254.6000,72695.0100,72693.6900,602059677,72693.6900,5718
Bimeh,d,20210907,000000,72029.0700,72157.2300,71984.3000,72109.4300,310193754,72109.4300,5718
